# NO SAMPLE -- ONE ARM SCANS
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
304 584821200.000000 212.987500 0.000128985
305 584821280.000000 213.103000 0.000128956
306 584821360.000000 213.218500 0.000129015
307 584821440.000000 213.334000 0.000129015
308 584821520.000000 213.451000 0.000128985
309 584821600.000000 213.567000 0.000128985
310 584821680.000000 213.680000 0.000128956
311 584821760.000000 213.798000 0.000128985
312 584821840.000000 213.912500 0.000128926
313 584821920.000000 214.027000 0.000128985
314 584822000.000000 214.141500 0.000128956
315 584822080.000000 214.259000 0.000128956
316 584822160.000000 214.372000 0.000128956
317 584822240.000000 214.488000 0.000128926
318 584822320.000000 214.604500 0.000128896
319 584822400.000000 214.720500 0.000128896
320 584822480.000000 214.834500 0.000128926
321 584822560.000000 214.948500 0.000128926
322 584822640.000000 215.066500 0.000128836
323 584822720.000000 215.178000 0.000128896
324 584822800.000000 215.296000 0.000128956
325 584822880.000000 215.410500 0.000128836
326 584822960.000000 215.525500 0.000128836
327 584823040.000000 215.640500 0.000128807
328 584823120.000000 215.756500 0.000128836
329 584823200.000000 215.872500 0.000128807
330 584823280.000000 215.987000 0.000128836
331 584823360.000000 216.103000 0.000128836
332 584823440.000000 216.218500 0.000128836
333 584823520.000000 216.334500 0.000128747
334 584823600.000000 216.447000 0.000128747
335 584823680.000000 216.565500 0.000128747
336 584823760.000000 216.679500 0.000128717
337 584823840.000000 216.795000 0.000128747
338 584823920.000000 216.908000 0.000128807
339 584824000.000000 217.026000 0.000128777
340 584824080.000000 217.141500 0.000128836
341 584824160.000000 217.256500 0.000128747
342 584824240.000000 217.373000 0.000128747
343 584824320.000000 217.488500 0.000128777
344 584824400.000000 217.606500 0.000128717
345 584824480.000000 217.718000 0.000128747
346 584824560.000000 217.836500 0.000128747
347 584824640.000000 217.950000 0.000128717
348 584824720.000000 218.068000 0.000128747
349 584824800.000000 218.181500 0.000128687
350 584824880.000000 218.297500 0.000128807
351 584824960.000000 218.412500 0.000128747
352 584825040.000000 218.529000 0.000128717
353 584825120.000000 218.645000 0.000128687
354 584825200.000000 218.757000 0.000128687
355 584825280.000000 218.874500 0.000128687
356 584825360.000000 218.989000 0.000128628
357 584825440.000000 219.104500 0.000128658
358 584825520.000000 219.217000 0.000128598
359 584825600.000000 219.336000 0.000128687
360 584825680.000000 219.446500 0.000128687
361 584825760.000000 219.565000 0.000128658
362 584825840.000000 219.680500 0.000128598
363 584825920.000000 219.796500 0.000128598
364 584826000.000000 219.910000 0.000128628
365 584826080.000000 220.026500 0.000128568
366 584826160.000000 220.143500 0.000128598
367 584826240.000000 220.255500 0.000128568
368 584826320.000000 220.372500 0.000128538
369 584826400.000000 220.484500 0.000128538
370 584826480.000000 220.602500 0.000128538
371 584826560.000000 220.718000 0.000128419
372 584826640.000000 220.833000 0.000128449
373 584826720.000000 220.947000 0.000128479
374 584826800.000000 221.063000 0.000128419
375 584826880.000000 221.179500 0.000128419
376 584826960.000000 221.291500 0.000128419
377 584827040.000000 221.409500 0.00012833
