# NO SAMPLE - ONE ARM
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

SAMPLE - no sample

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 350.000000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
412 3014322200.000000 193.598500 0.000139446
413 3014322280.000000 193.755500 0.000139416
414 3014322360.000000 193.907500 0.000139565
415 3014322440.000000 194.064000 0.000139506
416 3014322520.000000 194.216500 0.000139506
417 3014322600.000000 194.373000 0.000139476
418 3014322680.000000 194.529000 0.000139476
419 3014322760.000000 194.683000 0.000139535
420 3014322840.000000 194.838500 0.000139476
421 3014322920.000000 194.994500 0.000139446
422 3014323000.000000 195.147000 0.000139446
423 3014323080.000000 195.302500 0.000139386
424 3014323160.000000 195.459500 0.000139446
425 3014323240.000000 195.611500 0.000139416
426 3014323320.000000 195.766500 0.000139446
427 3014323400.000000 195.923000 0.000139416
428 3014323480.000000 196.077500 0.000139446
429 3014323560.000000 196.235000 0.000139476
430 3014323640.000000 196.387000 0.000139416
431 3014323720.000000 196.543000 0.000139446
432 3014323800.000000 196.700500 0.000139416
433 3014323880.000000 196.854500 0.000139416
434 3014323960.000000 197.009000 0.000139446
435 3014324040.000000 197.165500 0.000139416
436 3014324120.000000 197.324000 0.000139446
437 3014324200.000000 197.479000 0.000139506
438 3014324280.000000 197.630000 0.000139446
439 3014324360.000000 197.788000 0.000139476
440 3014324440.000000 197.940500 0.000139476
441 3014324520.000000 198.098000 0.000139506
442 3014324600.000000 198.251500 0.000139416
443 3014324680.000000 198.406000 0.000139386
444 3014324760.000000 198.564500 0.000139416
445 3014324840.000000 198.719000 0.000139416
446 3014324920.000000 198.868000 0.000139386
447 3014325000.000000 199.024500 0.000139416
448 3014325080.000000 199.179500 0.000139416
449 3014325160.000000 199.337000 0.000139386
450 3014325240.000000 199.492000 0.000139386
451 3014325320.000000 199.648500 0.000139357
452 3014325400.000000 199.802500 0.000139386
453 3014325480.000000 199.957000 0.000139357
454 3014325560.000000 200.114500 0.000139297
455 3014325640.000000 200.267500 0.000139327
456 3014325720.000000 200.422000 0.000139386
457 3014325800.000000 200.578000 0.000139357
458 3014325880.000000 200.730000 0.000139386
459 3014325960.000000 200.885500 0.000139357
460 3014326040.000000 201.042000 0.000139327
461 3014326120.000000 201.193500 0.000139267
