# NO SAMPLE -ONE ARM SCANS
 SAMPLE
SAMPLE-- ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






341 2455492500.000000 260.897500 9.71262e-005
342 2455492580.000000 261.052000 9.7156e-005
343 2455492660.000000 261.207500 9.71858e-005
344 2455492740.000000 261.366500 9.7156e-005
345 2455492820.000000 261.517000 9.71262e-005
346 2455492900.000000 261.671500 9.7156e-005
347 2455492980.000000 261.830000 9.7156e-005
348 2455493060.000000 261.983000 9.70964e-005
349 2455493140.000000 262.136500 9.70666e-005
350 2455493220.000000 262.292000 9.70964e-005
351 2455493300.000000 262.446500 9.70368e-005
352 2455493380.000000 262.605500 9.70666e-005
353 2455493460.000000 262.759000 9.70666e-005
354 2455493540.000000 262.915000 9.71262e-005
355 2455493620.000000 263.071500 9.70964e-005
356 2455493701.000000 263.227500 9.70964e-005
357 2455493780.000000 263.382000 9.70666e-005
358 2455493860.000000 263.534500 9.70368e-005
359 2455493940.000000 263.691000 9.71262e-005
360 2455494020.000000 263.844500 9.71262e-005
361 2455494100.000000 264.000000 9.70964e-005
362 2455494180.000000 264.155000 9.70666e-005
363 2455494260.000000 264.312000 9.7007e-005
364 2455494340.000000 264.463500 9.71262e-005
365 2455494420.000000 264.621500 9.70964e-005
366 2455494500.000000 264.776000 9.70368e-005
367 2455494580.000000 264.930000 9.70368e-005
368 2455494660.000000 265.086000 9.70368e-005
369 2455494740.000000 265.239000 9.70368e-005
370 2455494820.000000 265.397000 9.70666e-005
371 2455494900.000000 265.549500 9.70666e-005
372 2455494980.000000 265.707500 9.70368e-005
373 2455495060.000000 265.860500 9.70368e-005
374 2455495140.000000 266.016500 9.7007e-005
375 2455495220.000000 266.173500 9.7007e-005
376 2455495300.000000 266.326000 9.70368e-005
377 2455495380.000000 266.484000 9.70368e-005
378 2455495460.000000 266.640500 9.70368e-005
379 2455495540.000000 266.792000 9.7007e-005
380 2455495620.000000 266.949000 9.69772e-005
381 2455495700.000000 267.102500 9.70368e-005
382 2455495780.000000 267.259000 9.69772e-005
383 2455495860.000000 267.413000 9.7007e-005
384 2455495940.000000 267.569500 9.70368e-005
385 2455496020.000000 267.724500 9.7007e-005
386 2455496100.000000 267.882500 9.7007e-005
387 2455496180.000000 268.038000 9.69772e-005
388 2455496260.000000 268.192000 9.69772e-005
389 2455496340.000000 268.346500 9.7007e-005
390 2455496420.000000 268.504000 9.68878e-005
391 2455496500.000000 268.662000 9.7007e-005
392 2455496580.000000 268.811000 9.7007e-005
393 2455496660.000000 268.967000 9.69772e-005
394 2455496740.000000 269.124000 9.69176e-005
395 2455496820.000000 269.279500 9.69176e-005
396 2455496900.000000 269.434500 9.69772e-005
397 2455496980.000000 269.587500 9.69474e-005
398 2455497060.000000 269.743000 9.69772e-005
399 2455497140.000000 269.898500 9.69474e-005
400 2455497220.000000 270.050500 9.69176e-005
401 2455497300.000000 270.206500 9.69474e-005
402 2455497380.000000 270.361000 9.69176e-005
403 2455497460.000000 270.516500 9.69176e-005
404 2455497540.000000 270.673000 9.69474e-005
405 2455497620.000000 270.824500 9.6858e-005
406 2455497700.000000 270.983000 9.68878e-005
407 2455497780.000000 271.135500 9.6858e-005
408 2455497860.000000 271.294000 9.69176e-005
409 2455497940.000000 271.450000 9.69176e-005
410 2455498020.000000 271.601000 9.68878e-005
411 2455498100.000000 271.760500 9.68878e-005
412 2455498180.000000 271.913500 9.6858e-005
413 2455498260.000000 272.069500 9.68878e-005
414 2455498340.000000 272.223500 9.68878e-005
415 2455498420.000000 272.378000 9.69176e-005
416 2455498500.000000 272.535000 9.68878e-005
417 2455498580.000000 272.689500 9.6858e-005
418 2455498660.000000 272.846000 9.68878e-005
419 2455498740.000000 273.001000 9.6858e-005
420 2455498820.000000 273.158500 9.6858e-005
421 2455498900.000000 273.313500 9.69176e-005
422 2455498980.000000 273.470500 9.68878e-005
423 2455499060.000000 273.622000 9.6858e-005
424 2455499140.000000 273.779500 9.6858e-005
425 2455499220.000000 273.930500 9.69176e-005
426 2455499300.000000 274.089000 9.6858e-005
427 2455499380.000000 274.243500 9.6858e-005
428 2455499460.000000 274.397500 9.67984e-005
429 2455499540.000000 274.555000 9.6858e-005
430 2455499620.000000 274.708000 9.68878e-005
431 2455499700.000000 274.864000 9.68878e-005
432 2455499780.000000 275.018000 9.69176e-005
433 2455499860.000000 275.173500 9.67984e-005
