# frequency transmission sigma
1.56350000e+02 9.49548761e-01 5.14607109e-03
1.56400000e+02 9.52233700e-01 5.01959103e-03
1.56450000e+02 9.55404545e-01 4.91642414e-03
1.56500000e+02 9.59054846e-01 4.84433958e-03
1.56550000e+02 9.63157138e-01 4.80921516e-03
1.56600000e+02 9.67656903e-01 4.81284166e-03
1.56650000e+02 9.72468107e-01 4.85174080e-03
1.56700000e+02 9.77471697e-01 4.91769085e-03
1.56750000e+02 9.82518291e-01 4.99985710e-03
1.56800000e+02 9.87435640e-01 5.08761949e-03
1.56850000e+02 9.92040469e-01 5.17293469e-03
1.56900000e+02 9.96153111e-01 5.25143555e-03
1.56950000e+02 9.99612529e-01 5.32214321e-03
1.57000000e+02 1.00228907e+00 5.38628862e-03
1.57050000e+02 1.00409288e+00 5.44604931e-03
1.57100000e+02 1.00497697e+00 5.50386725e-03
1.57150000e+02 1.00493525e+00 5.56250790e-03
1.57200000e+02 1.00399683e+00 5.62545997e-03
1.57250000e+02 1.00221818e+00 5.69701443e-03
1.57300000e+02 9.99674927e-01 5.78155773e-03
1.57350000e+02 9.96454491e-01 5.88214606e-03
1.57400000e+02 9.92650387e-01 5.99898314e-03
1.57450000e+02 9.88358443e-01 6.12865899e-03
1.57500000e+02 9.83674943e-01 6.26474519e-03
1.57550000e+02 9.78696439e-01 6.39972103e-03
1.57600000e+02 9.73520839e-01 6.52758097e-03
1.57650000e+02 9.68249260e-01 6.64614819e-03
1.57700000e+02 9.62988068e-01 6.75817908e-03
1.57750000e+02 9.57850421e-01 6.87075448e-03
1.57800000e+02 9.52956628e-01 6.99315297e-03
1.57850000e+02 9.48432766e-01 7.13418417e-03
1.57900000e+02 9.44407302e-01 7.30034867e-03
1.57950000e+02 9.41005952e-01 7.49569724e-03
