# NO SAMPLE
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
451 593963140.000000 229.973500 0.000210078
452 593963220.000000 230.088500 0.000209988
453 593963300.000000 230.204500 0.000209899
454 593963380.000000 230.321000 0.000209779
455 593963460.000000 230.433500 0.000209779
456 593963540.000000 230.551000 0.000209958
457 593963620.000000 230.664500 0.000210018
458 593963700.000000 230.780000 0.000210048
459 593963780.000000 230.894000 0.000209958
460 593963860.000000 231.011500 0.000209809
461 593963940.000000 231.123500 0.00020972
462 593964020.000000 231.241000 0.00020963
463 593964100.000000 231.356500 0.00020972
464 593964180.000000 231.471000 0.000209899
465 593964260.000000 231.586500 0.000210107
466 593964340.000000 231.701500 0.000210197
467 593964420.000000 231.816500 0.000210078
468 593964500.000000 231.931500 0.000209958
469 593964580.000000 232.050500 0.00020969
470 593964660.000000 232.162500 0.000209481
471 593964740.000000 232.280500 0.000209541
472 593964820.000000 232.396000 0.00020963
473 593964900.000000 232.513000 0.000209988
474 593964980.000000 232.626500 0.000210227
475 593965060.000000 232.743000 0.000210286
476 593965140.000000 232.860500 0.000210197
477 593965220.000000 232.974500 0.000209899
478 593965300.000000 233.089000 0.000209571
479 593965380.000000 233.203500 0.000209392
480 593965460.000000 233.322500 0.000209392
481 593965540.000000 233.434500 0.00020972
482 593965620.000000 233.552500 0.000210048
483 593965700.000000 233.668000 0.000210376
484 593965780.000000 233.785000 0.000210346
485 593965860.000000 233.899500 0.000210167
486 593965940.000000 234.016000 0.000209809
487 593966020.000000 234.132500 0.000209422
488 593966100.000000 234.244500 0.000209303
489 593966180.000000 234.361500 0.000209392
490 593966260.000000 234.475500 0.000209779
491 593966340.000000 234.590500 0.000210197
492 593966420.000000 234.705500 0.000210346
493 593966500.000000 234.823500 0.000210316
494 593966580.000000 234.939500 0.000210078
495 593966660.000000 235.053500 0.00020972
496 593966740.000000 235.170000 0.000209422
497 593966820.000000 235.283000 0.000209362
498 593966900.000000 235.400000 0.000209541
499 593966980.000000 235.514500 0.000209779
500 593967060.000000 235.631000 0.000210167
501 593967140.000000 235.744000 0.000210346
502 593967220.000000 235.862500 0.000210286
503 593967300.000000 235.977000 0.000210048
504 593967380.000000 236.092000 0.00020963
505 593967460.000000 236.205000 0.000209511
506 593967540.000000 236.322500 0.000209422
507 593967621.000000 236.441500 0.00020966
508 593967700.000000 236.551000 0.000209958
509 593967780.000000 236.667500 0.000210197
510 593967860.000000 236.783500 0.000210227
511 593967940.000000 236.900500 0.000210197
512 593968020.000000 237.015000 0.000210018
513 593968100.000000 237.131000 0.000209809
514 593968180.000000 237.246500 0.000209601
