# SAMPLE
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
374 598104220.000000 221.061000 0.000203044
375 598104300.000000 221.178000 0.000203074
376 598104380.000000 221.291500 0.000203253
377 598104460.000000 221.408000 0.000203581
378 598104540.000000 221.521500 0.000203849
379 598104620.000000 221.640000 0.000203998
380 598104700.000000 221.753500 0.000203819
381 598104780.000000 221.869500 0.000203551
382 598104860.000000 221.984500 0.000203223
383 598104940.000000 222.101500 0.000202955
384 598105020.000000 222.217000 0.000203044
385 598105100.000000 222.332000 0.000203163
386 598105180.000000 222.449000 0.000203521
387 598105260.000000 222.564000 0.00020373
388 598105340.000000 222.679000 0.000203819
389 598105420.000000 222.794500 0.000203759
390 598105500.000000 222.912000 0.000203581
391 598105580.000000 223.026000 0.000203283
392 598105660.000000 223.142500 0.000203044
393 598105740.000000 223.258500 0.000202895
394 598105821.000000 223.373000 0.000203074
395 598105900.000000 223.489500 0.000203342
396 598105980.000000 223.606500 0.00020364
397 598106060.000000 223.721500 0.000203849
398 598106140.000000 223.835000 0.000203849
399 598106220.000000 223.953000 0.000203581
400 598106300.000000 224.067000 0.000203223
401 598106380.000000 224.181500 0.000203104
402 598106460.000000 224.296500 0.000203014
403 598106540.000000 224.410500 0.000203104
404 598106620.000000 224.526500 0.000203253
405 598106700.000000 224.643500 0.000203402
406 598106780.000000 224.759000 0.00020361
407 598106860.000000 224.873000 0.00020364
408 598106940.000000 224.991000 0.00020367
409 598107020.000000 225.104500 0.000203372
410 598107100.000000 225.220000 0.000203074
411 598107180.000000 225.335500 0.000202925
412 598107260.000000 225.450000 0.000202925
413 598107340.000000 225.565000 0.000203193
414 598107420.000000 225.681500 0.000203402
415 598107500.000000 225.794500 0.000203521
416 598107580.000000 225.912000 0.00020367
417 598107660.000000 226.029000 0.000203551
418 598107740.000000 226.142000 0.000203432
419 598107820.000000 226.259000 0.000203104
420 598107900.000000 226.371000 0.000202955
421 598107980.000000 226.489000 0.000202895
422 598108060.000000 226.602500 0.000203014
423 598108140.000000 226.720500 0.000203253
424 598108220.000000 226.833000 0.000203402
425 598108300.000000 226.952000 0.00020364
426 598108380.000000 227.066500 0.000203521
427 598108460.000000 227.183000 0.000203312
428 598108540.000000 227.297500 0.000203163
429 598108620.000000 227.415000 0.000202985
430 598108700.000000 227.531500 0.000202925
431 598108780.000000 227.646500 0.000203044
432 598108860.000000 227.762500 0.000203163
433 598108940.000000 227.877500 0.000203312
434 598109020.000000 227.993000 0.000203342
435 598109100.000000 228.107000 0.000203402
436 598109180.000000 228.225500 0.000203253
437 598109260.000000 228.340000 0.000202985
438 598109340.000000 228.454500 0.000202925
439 598109420.000000 228.571000 0.000202955
440 598109500.000000 228.686000 0.000203044
441 598109580.000000 228.800500 0.000203104
442 598109660.000000 228.915000 0.000203163
443 598109740.000000 229.032500 0.000203253
444 598109820.000000 229.144000 0.000203223
445 598109900.000000 229.262500 0.000203104
446 598109980.000000 229.374500 0.000202985
447 598110060.000000 229.492500 0.000203014
448 598110140.000000 229.606500 0.000203044
449 598110220.000000 229.721500 0.000203104
450 598110300.000000 229.837000 0.000203223
451 598110380.000000 229.954000 0.000203163
452 598110460.000000 230.068000 0.000203193
453 598110540.000000 230.182000 0.000203074
454 598110620.000000 230.299500 0.000203014
455 598110700.000000 230.412000 0.000203044
456 598110780.000000 230.529000 0.000203074
457 598110860.000000 230.642500 0.000203253
458 598110940.000000 230.760500 0.000203253
459 598111020.000000 230.873000 0.000203163
460 598111100.000000 230.990500 0.000203104
461 598111180.000000 231.105500 0.000202865
462 598111260.000000 231.218500 0.000202865
463 598111340.000000 231.336500 0.000202985
464 598111420.000000 231.451000 0.000203193
465 598111500.000000 231.567500 0.000203372
466 598111580.000000 231.679500 0.000203342
467 598111660.000000 231.798000 0.000203402
468 598111740.000000 231.912500 0.000203104
469 598111820.000000 232.030000 0.000202895
470 598111900.000000 232.144000 0.000202746
471 598111980.000000 232.259000 0.000202657
472 598112060.000000 232.375500 0.000202836
473 598112140.000000 232.490000 0.000203163
474 598112220.000000 232.607500 0.000203461
